denovo	std	CDI_logabun	H_logabun	nonCDI_logabun	delta_logabun	snr	abs_snr	CDI_presence	H_presence	nonCDI_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Anaerofustis	0.259971931541	-4.4177525358	-4.47500512915	-4.37521175182	0.0572525933497	0.220226056753	0.220226056753	0.0645161290323	0.025974025974	0.112359550562	0.0385421030582	0.0385421030582	83	91
g__Sarcina	0.48552960101	-4.26030160573	-4.26216023894	-4.4306052983	0.0018586332183	0.00382805335542	0.00382805335542	0.161290322581	0.194805194805	0.0449438202247	-0.0335148722245	0.0335148722245	119	92
g__Roseateles	0.248323360541	-4.42896543145	-4.46661615368	-4.36159002452	0.0376507222342	0.151619735461	0.151619735461	0.0645161290323	0.0324675324675	0.14606741573	0.0320485965647	0.0320485965647	91	93
g__Propionibacterium	0.278683092705	-4.42192800937	-4.45779007139	-4.40042252127	0.0358620620195	0.128684024823	0.128684024823	0.0645161290323	0.0324675324675	0.0786516853933	0.0320485965647	0.0320485965647	93	94
g__Acidaminococcus	0.434882247324	-4.39736215707	-4.35522516703	-4.38074612097	-0.0421369900369	-0.0968928722571	0.0968928722571	0.0645161290323	0.0909090909091	0.0674157303371	-0.0263929618768	0.0263929618768	99	95
g__Mitsuokella	0.156392123111	-4.49557208711	-4.45850296506	-4.49557208711	-0.0370691220428	-0.237026784376	0.237026784376	0.0	0.025974025974	0.0	-0.025974025974	0.025974025974	78	96
g__Saccharofermentans	0.149777591599	-4.49557208711	-4.46273742041	-4.48653889365	-0.0328346666951	-0.21922282462	0.21922282462	0.0	0.025974025974	0.0112359550562	-0.025974025974	0.025974025974	84	97
g__Anaeroplasma	0.277112109201	-4.49557208711	-4.43190365486	-4.49557208711	-0.0636684322489	-0.229756947225	0.229756947225	0.0	0.025974025974	0.0	-0.025974025974	0.025974025974	80	98
g__Dehalobacter	0.17826246512	-4.49557208711	-4.4531794246	-4.49557208711	-0.0423926625075	-0.23781036843	0.23781036843	0.0	0.025974025974	0.0	-0.025974025974	0.025974025974	77	99
g__Phenylobacterium	0.184699775568	-4.46537412175	-4.48755779008	-4.42876600618	0.0221836683254	0.120106633899	0.120106633899	0.0322580645161	0.00649350649351	0.0561797752809	0.0257645580226	0.0257645580226	94	100
g__Succiniclasticum	0.371349147263	-4.42414043588	-4.41710969898	-4.43909838874	-0.00703073689358	-0.0189329555363	0.0189329555363	0.0645161290323	0.038961038961	0.0224719101124	0.0255550900712	0.0255550900712	116	101
g__Porphyromonas	0.328440436901	-4.38548455303	-4.38960200404	-4.47268204719	0.00411745100598	0.0125363705055	0.0125363705055	0.0752688172043	0.0974025974026	0.0224719101124	-0.0221337801983	0.0221337801983	118	102
g__Megasphaera	0.48641568218	-4.39330801149	-4.37852443996	-4.39585281296	-0.0147835715344	-0.0303928760442	0.0303928760442	0.0430107526882	0.0649350649351	0.0337078651685	-0.0219243122469	0.0219243122469	113	103
